agent_id,employee_code,agent_name,vendor_id,team,status,joined_at,updated_at,canonical_agent_id
AGT0000505,EMP01058,Ananya Rao,VND0000001,DIGITAL,INACTIVE,2025-02-21 17:32:03,2025-07-28 11:59:15,CAN_AGENT_9_Ananya_Rao
AGT0000502,EMP00313,Rohan Patel,VND0000007,DIGITAL,INACTIVE,2025-10-03 09:24:08,2025-09-03 17:38:32,CAN_AGENT_3_Rohan_Patel
AGT0000220,EMP00673,Rohan Patel,VND0000014,T3,INACTIVE,2024-07-05 05:44:03,2026-07-19 20:34:15,CAN_AGENT_4_Rohan_Patel
AGT0000926,EMP01005,Rohan Patel,VND0000014,FIELD,SUSPENDED,2025-09-09 11:16:30,2025-05-04 11:07:39,CAN_AGENT_5_Rohan_Patel
AGT0000127,EMP00439,Neha Singh,VND0000012,DIGITAL,ACTIVE,2024-12-01 05:37:42,2025-11-28 16:28:33,CAN_AGENT_6_Neha_Singh
AGT0000670,EMP00522,Amit Kumar,VND0000010,T1,INACTIVE,2025-06-08 14:13:06,2026-07-16 11:19:16,CAN_AGENT_7_Amit_Kumar
AGT0000699,EMP00437,Rahul Verma,VND0000006,FIELD,SUSPENDED,2024-03-23 12:09:29,2026-02-03 00:56:36,CAN_AGENT_4_Rahul_Verma
AGT0000325,EMP01092,Aarav Sharma,VND0000015,FIELD,SUSPENDED,2024-07-25 08:47:42,2026-06-21 22:11:58,CAN_AGENT_7_Aarav_Sharma
AGT0000918,EMP00980,Ananya Rao,VND0000010,T1,INACTIVE,2025-04-23 20:16:47,2026-02-11 09:34:38,CAN_AGENT_10_Ananya_Rao
AGT0000544,EMP00440,Rohan Patel,VND0000004,T1,ACTIVE,2025-03-20 19:56:32,2025-07-11 15:05:41,CAN_AGENT_6_Rohan_Patel
AGT0000694,EMP00962,Neha Singh,VND0000009,DIGITAL,ACTIVE,2024-08-27 23:38:53,2026-03-27 22:42:18,CAN_AGENT_7_Neha_Singh
AGT0000847,EMP00377,Rahul Verma,VND0000005,T3,SUSPENDED,2025-06-30 05:31:15,2025-08-17 11:00:24,CAN_AGENT_5_Rahul_Verma
AGT0000295,EMP00576,Neha Singh,VND0000006,T2,INACTIVE,2024-07-29 10:13:04,2026-07-02 09:59:30,CAN_AGENT_8_Neha_Singh
AGT0000918,EMP01077,Rahul Verma,VND0000010,T1,INACTIVE,2024-12-06 12:18:45,2025-08-23 23:14:56,CAN_AGENT_6_Rahul_Verma
AGT0000709,EMP00865,Neha Singh,VND0000007,T2,INACTIVE,2024-02-13 04:41:08,2025-10-12 20:53:57,CAN_AGENT_9_Neha_Singh
AGT0000395,EMP00313,Sneha Das,VND0000007,T1,SUSPENDED,2025-05-30 12:21:21,2025-10-20 22:12:34,CAN_AGENT_6_Sneha_Das
AGT0000646,EMP00382,Amit Kumar,VND0000009,T2,INACTIVE,2024-11-12 12:03:13,2025-09-14 04:58:22,CAN_AGENT_8_Amit_Kumar
AGT0000084,EMP00141,Priya Mehta,VND0000010,FIELD,SUSPENDED,2024-05-30 02:36:03,2025-10-19 17:07:17,CAN_AGENT_7_Priya_Mehta
AGT0000389,EMP00271,Amit Kumar,VND0000007,FIELD,ACTIVE,2024-10-14 01:40:50,2025-04-26 21:27:34,CAN_AGENT_9_Amit_Kumar
AGT0000645,EMP00791,Aarav Sharma,VND0000012,T1,INACTIVE,2024-11-23 21:37:16,2025-11-30 13:23:39,CAN_AGENT_8_Aarav_Sharma
AGT0000810,EMP00995,Aarav Sharma,VND0000004,T2,ACTIVE,2024-08-21 22:27:21,2025-10-21 10:44:58,CAN_AGENT_9_Aarav_Sharma
AGT0000286,EMP00857,Neha Singh,VND0000009,T1,SUSPENDED,2024-05-11 13:57:55,2025-08-14 07:16:28,CAN_AGENT_10_Neha_Singh
AGT0000912,EMP00917,Vikram Shah,VND0000011,FIELD,SUSPENDED,2025-08-19 05:01:54,2026-05-19 14:38:33,CAN_AGENT_7_Vikram_Shah
AGT0000846,EMP00196,Pooja Nair,VND0000011,T2,SUSPENDED,2024-01-30 18:03:00,2025-08-08 07:52:26,CAN_AGENT_9_Pooja_Nair
AGT0000294,EMP00020,Pooja Nair,VND0000010,DIGITAL,INACTIVE,2025-03-29 23:15:21,2025-12-31 16:03:43,CAN_AGENT_10_Pooja_Nair
AGT0000401,EMP00706,Rohan Patel,VND0000014,T2,ACTIVE,2025-08-02 05:12:28,2026-06-24 04:17:48,CAN_AGENT_7_Rohan_Patel
AGT0000936,EMP00049,Rahul Verma,VND0000001,T3,INACTIVE,2024-11-12 07:13:56,2025-03-20 06:45:46,CAN_AGENT_7_Rahul_Verma
AGT0000932,EMP00065,Rohan Patel,VND0000001,T2,SUSPENDED,2024-10-31 07:08:14,2025-11-05 04:10:25,CAN_AGENT_8_Rohan_Patel
AGT0000276,EMP00674,Sneha Das,VND0000013,T1,INACTIVE,2025-11-10 08:07:40,2025-06-13 16:21:58,CAN_AGENT_7_Sneha_Das
AGT0000250,EMP00351,Pooja Nair,VND0000005,T3,INACTIVE,2024-07-14 14:20:59,2026-05-16 03:35:18,CAN_AGENT_11_Pooja_Nair
AGT0000169,EMP00528,Rohan Patel,VND0000012,T3,ACTIVE,2025-05-19 20:58:05,2026-04-24 06:00:52,CAN_AGENT_9_Rohan_Patel
AGT0000620,EMP00340,Priya Mehta,VND0000012,T1,ACTIVE,2024-02-14 08:53:16,2025-06-26 22:10:52,CAN_AGENT_8_Priya_Mehta
AGT0000762,EMP00926,Vikram Shah,VND0000009,DIGITAL,ACTIVE,2024-10-31 08:05:35,2025-10-02 09:16:35,CAN_AGENT_8_Vikram_Shah
AGT0000330,EMP00678,Rahul Verma,VND0000013,FIELD,SUSPENDED,2025-09-22 07:59:11,2025-03-03 04:48:00,CAN_AGENT_8_Rahul_Verma
AGT0000244,EMP00926,Vikram Shah,VND0000013,T1,INACTIVE,2025-06-23 05:32:13,2025-02-06 04:16:26,CAN_AGENT_9_Vikram_Shah
AGT0000193,EMP00600,Ananya Rao,VND0000008,T2,ACTIVE,2024-01-15 11:43:58,2026-04-24 03:32:46,CAN_AGENT_11_Ananya_Rao
AGT0000970,EMP00418,Rahul Verma,VND0000010,FIELD,INACTIVE,2025-08-24 05:17:24,2026-02-25 08:04:34,CAN_AGENT_9_Rahul_Verma
AGT0000243,EMP00900,Neha Singh,VND0000004,T1,ACTIVE,2025-11-15 20:04:37,2025-08-10 20:42:39,CAN_AGENT_11_Neha_Singh
AGT0000989,EMP00539,Priya Mehta,VND0000011,DIGITAL,SUSPENDED,2025-01-16 21:08:47,2025-11-22 17:15:35,CAN_AGENT_9_Priya_Mehta
AGT0000911,EMP00871,Ananya Rao,VND0000010,DIGITAL,ACTIVE,2024-06-10 03:26:57,2025-05-04 09:17:22,CAN_AGENT_12_Ananya_Rao
AGT0000832,EMP00666,Pooja Nair,VND0000007,T3,ACTIVE,2025-09-23 06:59:49,2025-01-23 07:37:09,CAN_AGENT_12_Pooja_Nair
AGT0000515,EMP00199,Vikram Shah,VND0000002,T1,SUSPENDED,2024-11-10 15:10:36,2025-04-11 02:43:49,CAN_AGENT_10_Vikram_Shah
AGT0000377,EMP00573,Aarav Sharma,VND0000002,T3,ACTIVE,2025-06-28 14:35:49,2026-02-15 07:12:38,CAN_AGENT_10_Aarav_Sharma
AGT0000927,EMP00180,Aarav Sharma,VND0000012,T2,INACTIVE,2024-07-17 17:54:30,2025-12-13 06:54:54,CAN_AGENT_11_Aarav_Sharma
AGT0000303,EMP00503,Vikram Shah,VND0000006,DIGITAL,INACTIVE,2024-03-19 19:32:21,2026-01-04 13:08:51,CAN_AGENT_11_Vikram_Shah
AGT0000933,EMP00610,Ananya Rao,VND0000007,T1,ACTIVE,2025-03-21 14:46:57,2025-04-11 10:29:41,CAN_AGENT_13_Ananya_Rao
AGT0000644,EMP00560,Rohan Patel,VND0000012,T2,ACTIVE,2025-10-11 10:14:04,2025-12-01 10:19:37,CAN_AGENT_10_Rohan_Patel
AGT0000646,EMP00055,Amit Kumar,VND0000006,T3,INACTIVE,2025-02-12 03:14:12,2025-06-29 21:46:14,CAN_AGENT_10_Amit_Kumar
AGT0000250,EMP00818,Vikram Shah,VND0000004,DIGITAL,ACTIVE,2024-04-25 19:13:27,2025-01-13 16:37:49,CAN_AGENT_12_Vikram_Shah
AGT0000787,EMP00302,Amit Kumar,VND0000014,T3,INACTIVE,2025-10-16 10:43:46,2026-06-22 03:28:48,CAN_AGENT_11_Amit_Kumar
AGT0000737,EMP01033,Priya Mehta,VND0000003,T3,ACTIVE,2024-05-13 10:48:26,2026-03-16 14:21:06,CAN_AGENT_10_Priya_Mehta
AGT0000004,EMP00187,Amit Kumar,VND0000004,T2,ACTIVE,2024-06-15 05:36:43,2025-10-21 03:22:08,CAN_AGENT_12_Amit_Kumar
AGT0000800,EMP00676,Pooja Nair,VND0000007,T1,SUSPENDED,2024-05-11 07:09:10,2025-11-15 23:22:35,CAN_AGENT_13_Pooja_Nair
AGT0000865,EMP00431,Rohan Patel,VND0000008,T1,SUSPENDED,2024-11-20 09:24:01,2026-05-14 15:22:10,CAN_AGENT_11_Rohan_Patel
AGT0000077,EMP00072,Aarav Sharma,VND0000011,FIELD,INACTIVE,2025-04-24 09:33:59,2026-06-11 08:31:03,CAN_AGENT_12_Aarav_Sharma
AGT0000950,EMP00030,Ananya Rao,VND0000009,T2,ACTIVE,2024-07-11 19:41:29,2025-08-23 04:14:05,CAN_AGENT_14_Ananya_Rao
AGT0000492,EMP00414,Aarav Sharma,VND0000014,DIGITAL,SUSPENDED,2024-07-12 20:27:27,2025-04-29 00:52:33,CAN_AGENT_13_Aarav_Sharma
AGT0000214,EMP00116,Rohan Patel,VND0000002,FIELD,ACTIVE,2024-12-02 16:05:15,2025-08-08 17:07:42,CAN_AGENT_12_Rohan_Patel
AGT0000071,EMP00209,Rohan Patel,VND0000012,FIELD,INACTIVE,2025-10-14 18:00:17,2025-07-05 12:00:29,CAN_AGENT_13_Rohan_Patel
AGT0000590,EMP00533,Sneha Das,VND0000007,T3,ACTIVE,2025-09-03 10:12:14,2026-05-03 18:30:16,CAN_AGENT_8_Sneha_Das
AGT0000237,EMP00571,Neha Singh,VND0000002,T2,ACTIVE,2024-10-27 21:01:28,2026-06-22 07:50:11,CAN_AGENT_12_Neha_Singh
AGT0000537,EMP00380,Rohan Patel,VND0000001,DIGITAL,ACTIVE,2025-05-14 06:36:25,2025-08-25 13:19:33,CAN_AGENT_14_Rohan_Patel
AGT0000852,EMP00113,Priya Mehta,VND0000009,DIGITAL,SUSPENDED,2025-07-13 17:50:27,2025-08-05 01:01:10,CAN_AGENT_11_Priya_Mehta
AGT0000377,EMP00759,Pooja Nair,VND0000010,T2,INACTIVE,2025-01-25 10:59:48,2025-07-19 18:22:21,CAN_AGENT_14_Pooja_Nair
AGT0000239,EMP00621,Vikram Shah,VND0000008,DIGITAL,INACTIVE,2025-01-06 18:12:08,2026-03-25 09:54:57,CAN_AGENT_13_Vikram_Shah
AGT0000410,EMP00137,Amit Kumar,VND0000005,T1,SUSPENDED,2024-01-30 01:24:36,2025-05-17 18:16:33,CAN_AGENT_13_Amit_Kumar
AGT0000673,EMP00490,Rahul Verma,VND0000007,T2,ACTIVE,2025-02-05 00:13:51,2025-04-08 19:11:14,CAN_AGENT_10_Rahul_Verma
AGT0000572,EMP00273,Sneha Das,VND0000014,FIELD,SUSPENDED,2025-02-01 04:44:54,2026-06-20 10:55:55,CAN_AGENT_9_Sneha_Das
AGT0000361,EMP00786,Amit Kumar,VND0000006,T2,SUSPENDED,2025-10-17 21:44:28,2025-02-17 08:24:33,CAN_AGENT_14_Amit_Kumar
AGT0000219,EMP00868,Amit Kumar,VND0000003,DIGITAL,INACTIVE,2025-10-05 14:09:44,2026-05-03 16:04:15,CAN_AGENT_15_Amit_Kumar
AGT0000592,EMP00732,Sneha Das,VND0000009,T3,SUSPENDED,2025-09-15 22:43:56,2025-02-09 06:55:23,CAN_AGENT_10_Sneha_Das
AGT0000571,EMP01029,Sneha Das,VND0000011,T3,SUSPENDED,2024-11-28 21:40:53,2025-04-03 03:04:58,CAN_AGENT_11_Sneha_Das
AGT0000975,EMP00201,Pooja Nair,VND0000002,DIGITAL,SUSPENDED,2024-09-02 14:41:20,2025-04-02 06:24:07,CAN_AGENT_15_Pooja_Nair
AGT0000016,EMP00484,Ananya Rao,VND0000014,DIGITAL,ACTIVE,2024-07-18 14:05:35,2025-01-27 22:40:01,CAN_AGENT_15_Ananya_Rao
AGT0000361,EMP00543,Amit Kumar,VND0000001,T1,INACTIVE,2024-09-28 23:43:42,2026-03-09 10:54:31,CAN_AGENT_16_Amit_Kumar
AGT0000439,EMP00218,Rahul Verma,VND0000010,DIGITAL,SUSPENDED,2025-01-24 15:41:47,2025-12-02 16:52:37,CAN_AGENT_11_Rahul_Verma
AGT0000699,EMP00450,Sneha Das,VND0000012,DIGITAL,ACTIVE,2024-05-28 18:30:26,2025-12-23 04:29:39,CAN_AGENT_12_Sneha_Das
AGT0000724,EMP00558,Rohan Patel,VND0000011,T3,ACTIVE,2024-10-30 05:51:50,2025-08-27 02:20:32,CAN_AGENT_15_Rohan_Patel
AGT0000526,EMP00769,Sneha Das,VND0000009,DIGITAL,ACTIVE,2025-06-04 11:31:10,2025-01-24 23:36:06,CAN_AGENT_13_Sneha_Das
AGT0000571,EMP00882,Ananya Rao,VND0000011,FIELD,ACTIVE,2024-11-13 22:18:23,2025-06-28 03:45:32,CAN_AGENT_16_Ananya_Rao
AGT0000468,EMP00217,Priya Mehta,VND0000004,T1,INACTIVE,2025-03-18 23:03:36,2025-08-25 05:32:45,CAN_AGENT_12_Priya_Mehta
AGT0000289,EMP00935,Priya Mehta,VND0000009,FIELD,SUSPENDED,2024-09-19 07:02:12,2026-05-01 05:49:52,CAN_AGENT_13_Priya_Mehta
AGT0000417,EMP00045,Rohan Patel,VND0000008,FIELD,INACTIVE,2024-05-10 11:55:55,2025-03-30 10:57:50,CAN_AGENT_16_Rohan_Patel
AGT0000717,EMP00289,Vikram Shah,VND0000003,T3,ACTIVE,2025-02-18 01:00:25,2025-12-21 09:57:11,CAN_AGENT_14_Vikram_Shah
AGT0000030,EMP00343,Priya Mehta,VND0000002,T2,INACTIVE,2024-01-04 21:50:52,2025-09-12 13:56:40,CAN_AGENT_14_Priya_Mehta
AGT0000485,EMP00599,Aarav Sharma,VND0000009,T2,SUSPENDED,2024-02-28 10:56:14,2025-04-09 18:54:30,CAN_AGENT_14_Aarav_Sharma
AGT0000856,EMP00370,Amit Kumar,VND0000002,T2,INACTIVE,2024-06-23 00:55:06,2025-04-20 17:06:22,CAN_AGENT_17_Amit_Kumar
AGT0000130,EMP00953,Rahul Verma,VND0000008,DIGITAL,SUSPENDED,2025-10-26 17:06:11,2026-07-23 17:32:32,CAN_AGENT_12_Rahul_Verma
AGT0000839,EMP00120,Amit Kumar,VND0000015,T2,ACTIVE,2024-07-31 06:01:47,2025-08-23 07:24:52,CAN_AGENT_18_Amit_Kumar
AGT0000714,EMP01059,Amit Kumar,VND0000010,T2,INACTIVE,2024-05-19 00:15:53,2026-07-29 21:08:00,CAN_AGENT_19_Amit_Kumar
AGT0000492,EMP00792,Rohan Patel,VND0000012,DIGITAL,SUSPENDED,2025-01-02 01:45:53,2025-10-22 03:58:04,CAN_AGENT_17_Rohan_Patel
AGT0000373,EMP00605,Priya Mehta,VND0000015,FIELD,SUSPENDED,2024-07-01 21:10:40,2025-09-03 00:06:14,CAN_AGENT_15_Priya_Mehta
AGT0000236,EMP00686,Aarav Sharma,VND0000002,FIELD,ACTIVE,2024-10-13 07:24:49,2026-07-13 17:28:31,CAN_AGENT_15_Aarav_Sharma
AGT0000139,EMP00458,Neha Singh,VND0000013,T2,SUSPENDED,2024-03-13 16:08:45,2025-09-26 13:10:09,CAN_AGENT_13_Neha_Singh
AGT0000222,EMP00177,Priya Mehta,VND0000015,T1,ACTIVE,2024-06-08 11:04:50,2026-05-08 07:56:03,CAN_AGENT_16_Priya_Mehta
AGT0000107,EMP00171,Sneha Das,VND0000009,FIELD,ACTIVE,2024-12-07 14:33:40,2025-11-21 01:22:41,CAN_AGENT_14_Sneha_Das
AGT0000053,EMP00251,Vikram Shah,VND0000015,T3,ACTIVE,2024-01-18 15:19:07,2026-07-07 12:14:53,CAN_AGENT_15_Vikram_Shah
AGT0000122,EMP00782,Rohan Patel,VND0000015,T3,ACTIVE,2024-11-12 18:47:36,2025-06-28 09:31:07,CAN_AGENT_18_Rohan_Patel
AGT0000105,EMP00482,Rahul Verma,VND0000012,DIGITAL,SUSPENDED,2025-11-15 09:24:29,2026-05-02 14:56:08,CAN_AGENT_13_Rahul_Verma
AGT0000485,EMP00200,Sneha Das,VND0000002,DIGITAL,INACTIVE,2024-05-26 02:22:23,2025-12-26 06:43:43,CAN_AGENT_15_Sneha_Das
AGT0000726,EMP00406,Ananya Rao,VND0000009,FIELD,SUSPENDED,2024-12-21 03:40:33,2026-06-03 08:39:37,CAN_AGENT_17_Ananya_Rao
AGT0000312,EMP01031,Amit Kumar,VND0000006,DIGITAL,SUSPENDED,2024-06-26 20:07:31,2025-01-20 19:11:29,CAN_AGENT_20_Amit_Kumar
AGT0000392,EMP00733,Rahul Verma,VND0000003,T3,SUSPENDED,2024-05-10 01:26:45,2026-04-01 19:18:05,CAN_AGENT_14_Rahul_Verma
AGT0000919,EMP00788,Amit Kumar,VND0000007,T1,ACTIVE,2024-07-27 02:58:41,2026-07-08 09:41:19,CAN_AGENT_21_Amit_Kumar
AGT0000482,EMP01040,Ananya Rao,VND0000004,T1,ACTIVE,2024-03-19 07:39:46,2025-04-11 16:45:30,CAN_AGENT_18_Ananya_Rao
AGT0000867,EMP00399,Rohan Patel,VND0000008,T2,INACTIVE,2024-12-03 03:39:54,2025-03-29 04:55:25,CAN_AGENT_19_Rohan_Patel
AGT0000161,EMP00448,Sneha Das,VND0000010,T2,SUSPENDED,2025-06-14 21:06:44,2026-02-25 00:57:10,CAN_AGENT_16_Sneha_Das
AGT0000636,EMP00576,Rahul Verma,VND0000015,T2,INACTIVE,2024-12-27 05:30:39,2025-01-21 15:19:14,CAN_AGENT_15_Rahul_Verma
AGT0000941,EMP00745,Neha Singh,VND0000007,T1,SUSPENDED,2024-10-31 18:38:20,2025-08-04 00:32:27,CAN_AGENT_14_Neha_Singh
